AQCC,Name,X,Y,date,pm25,pm10,o3,no2,so2,co
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/2/2024,63,63,67,145,7,26
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/3/2024,74,69,91,100,5,20
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/4/2024,113,70,91,93,5,27
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/5/2024,109,59,71,83,11,17
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/7/2024,52,,59,53,7,23
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/8/2024,47,43,64,55,7,12
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/9/2024,49,51,68,70,6,30
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/10/2024,53,59,72,67,6,25
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/11/2024,59,57,72,68,7,21
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/12/2024,60,46,70,67,,
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/13/2024,54,55,76,73,,
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/14/2024,60,55,76,60,8,21
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/15/2024,58,51,86,54,6,20
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/16/2024,54,41,82,91,6,17
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/17/2024,51,51,82,98,8,19
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/18/2024,56,54,78,85,7,21
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/19/2024,56,60,78,54,6,
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/20/2024,59,,,,,
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/23/2024,60,58,94,77,8,
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/24/2024,65,58,92,87,7,18
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/25/2024,60,51,91,108,5,25
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/26/2024,57,62,118,61,4,20
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/27/2024,64,61,118,105,6,19
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/28/2024,67,72,111,104,6,23
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,7/29/2024,73,,,,,
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,8/1/2024,82,77,93,103,8,26
1,"Tehran Aghdasyeh, Iran",543825.0001,3961881,8/2/2024,78,68,93,85,5,22
